sid,sim,eid
1859,0.08644841611385345,1780
1859,0.08508026599884033,1733
1859,0.07860186696052551,1603
1859,0.07569058984518051,1886
1860,0.09347102046012878,565
1860,0.08158193528652191,745
1860,0.07461458444595337,1681
1860,0.06942207366228104,688
1860,0.06185060739517212,1464
1861,0.1110774427652359,860
1861,0.09432876110076904,393
1861,0.09121493995189667,548
1861,0.08539638668298721,695
1861,0.07425248622894287,1726
1862,0.06718866527080536,1228
1862,0.05729738250374794,1144
1862,0.0547405481338501,991
1862,0.05461489036679268,825
1862,0.053080033510923386,943
1863,0.23471762239933014,1098
1863,0.18457578122615814,813
1863,0.14691917598247528,1882
1863,0.14450603723526,1817
1863,0.11654350906610489,157
1864,0.21121148765087128,982
1864,0.11944804340600967,939
1864,0.10615607351064682,2124
1864,0.09932396560907364,280
1864,0.09616896510124207,61
1865,0.05557504668831825,615
1865,0.054129939526319504,2056
1865,0.05180079862475395,1575
1865,0.0512898713350296,724
1865,0.050224192440509796,2095
1866,0.08623819053173065,108
1866,0.0842227041721344,553
1866,0.07434253394603729,83
1866,0.06732048839330673,211
1866,0.06688447296619415,1407
1867,0.1007131040096283,1428
1867,0.0650830790400505,1801
1867,0.05754099041223526,1534
1867,0.0546264573931694,1048
1867,0.054160572588443756,1657
1868,0.43070027232170105,268
1868,0.07578176259994507,840
1868,0.07495220005512238,1606
1868,0.05682724714279175,367
1868,0.05284605920314789,1632
1869,0.11407102644443512,225
1869,0.0982476994395256,1320
1869,0.08518649637699127,2053
1869,0.07998677343130112,998
1869,0.07801186293363571,546
1870,0.07752126455307007,256
1870,0.07431720197200775,1341
1870,0.0705304741859436,724
1870,0.06757485866546631,1048
1870,0.06307896971702576,646
1871,0.14249251782894135,2080
1871,0.10181643068790436,1852
1871,0.10124354809522629,383
1871,0.088136225938797,806
1871,0.07960109412670135,968
1872,0.13290923833847046,1375
1872,0.12342780083417892,725
1872,0.09465067088603973,2030
1872,0.06887966394424438,953
1872,0.06816880404949188,985
1873,0.21816813945770264,237
1873,0.1946808248758316,460
1873,0.11128555238246918,393
1873,0.09665775299072266,2143
1873,0.09298251569271088,688
1874,0.09082645177841187,2118
1874,0.08971435576677322,1784
1874,0.08923029899597168,280
1874,0.08812642097473145,2023
1874,0.08575480431318283,184
1875,0.12843653559684753,176
1875,0.08628427982330322,1628
1875,0.08590869605541229,370
1875,0.07201863080263138,821
1875,0.07176900655031204,106
1876,0.1617487519979477,375
1876,0.11844039708375931,1718
1876,0.0842360258102417,1729
1876,0.07684365659952164,688
1876,0.07610739767551422,420
1877,0.11458531022071838,1401
1877,0.10656647384166718,1915
1877,0.10432130843400955,926
1877,0.10106098651885986,510
1877,0.09329809993505478,376
1878,0.12649410963058472,1016
1878,0.11402230709791183,786
1878,0.09277518093585968,360
1878,0.08901078999042511,259
1878,0.08559940755367279,1234
1879,0.07888506352901459,1792
1879,0.06609080731868744,824
1879,0.05748235434293747,976
1879,0.05681825429201126,1234
1879,0.056180283427238464,1884
1880,0.06242162734270096,74
1880,0.06197553128004074,282
1880,0.05728435888886452,1670
1880,0.05161792039871216,1628
1880,0.05093270167708397,1560
1881,0.119929239153862,802
1881,0.11126063764095306,316
1881,0.09396789968013763,1795
1881,0.09288780391216278,267
1881,0.07960748672485352,866
1882,0.16470393538475037,1863
1882,0.13631291687488556,1098
1882,0.12279845774173737,1750
1882,0.11160464584827423,356
1882,0.11025190353393555,1388
1883,0.15937744081020355,1046
1883,0.1378002017736435,486
1883,0.09784229099750519,2028
1883,0.09389674663543701,357
1883,0.09054607152938843,853
1884,0.13233232498168945,63
1884,0.12193391472101212,1747
1884,0.11110752820968628,1234
1884,0.10942155122756958,929
1884,0.09796065837144852,840
1885,0.09856884181499481,79
1885,0.095877505838871,1797
1885,0.08432372659444809,15
1885,0.08303625136613846,950
1885,0.0810253918170929,280
1886,0.08233152329921722,302
1886,0.07914058864116669,1428
1886,0.07532922178506851,1628
1886,0.0748673528432846,2040
1886,0.0742897093296051,1733
1887,0.2092914879322052,375
1887,0.18049922585487366,2118
1887,0.11208731681108475,956
1887,0.08329861611127853,1113
1887,0.08256150782108307,177
1888,0.2776593863964081,1783
1888,0.1222454234957695,577
1888,0.11426836997270584,69
1888,0.07919207960367203,2122
1888,0.07072994858026505,493
1889,0.18341483175754547,695
1889,0.17633670568466187,860
1889,0.15321563184261322,548
1889,0.11003941297531128,157
1889,0.08504275977611542,822
1890,0.3002222180366516,248
1890,0.10402160882949829,535
1890,0.09124428033828735,661
1890,0.08125653862953186,865
1890,0.07999972254037857,236
1891,0.09966867417097092,1364
1891,0.07704219222068787,152
1891,0.06506229937076569,774
1891,0.06303361058235168,930
1891,0.061940792948007584,1726
1892,0.12324755638837814,2045
1892,0.11486503481864929,994
1892,0.10673251003026962,143
1892,0.1010487824678421,233
1892,0.09918878972530365,2027
1893,0.12588243186473846,176
1893,0.0741988942027092,2060
1893,0.07177024334669113,427
1893,0.07139977812767029,1097
1893,0.06912028044462204,821
1894,0.17654100060462952,1748
1894,0.14696966111660004,1712
1894,0.1448393017053604,1513
1894,0.14280730485916138,664
1894,0.14155076444149017,692
1895,0.2175077497959137,439
1895,0.08442565053701401,1683
1895,0.07947514206171036,1237
1895,0.06773509830236435,961
1895,0.05986133962869644,691
1896,0.09447894990444183,1892
1896,0.08137395977973938,1496
1896,0.0715298131108284,1873
1896,0.07137584686279297,460
1896,0.0712757557630539,2026
1897,0.1507018804550171,775
1897,0.11143939197063446,1718
1897,0.10027023404836655,1731
1897,0.09685792028903961,2075
1897,0.0948166772723198,216
1898,0.1168743222951889,336
1898,0.08985808491706848,1707
1898,0.08552838861942291,1965
1898,0.06701776385307312,2042
1898,0.06604927778244019,1147
1899,0.1234375536441803,1006
1899,0.09400197863578796,2045
1899,0.09198632091283798,1987
1899,0.09125149995088577,233
1899,0.07874361425638199,1968
1900,0.12016506493091583,376
1900,0.11064287275075912,280
1900,0.07827214151620865,122
1900,0.07730551064014435,1105
1900,0.0706765279173851,125
1901,0.15234413743019104,919
1901,0.11927300691604614,1297
1901,0.08053161203861237,712
1901,0.078330859541893,631
1901,0.0754241943359375,1640
1902,0.07529721409082413,97
1902,0.0614529512822628,1325
1902,0.058215152472257614,1584
